n_sl,xi_0_sl,xi_inf_sl,h_0_sl_sl,error
16.014947988533198,8352283.855187028,39715012.34297441,1786626495.8650746,7047295889841244.0
10.030582054939416,12271641.231872423,10941353.317935344,9772633783.504368,491752526031125.0
40.772808489128245,5948801.833172675,12415961.278173078,4219809078.525374,718660196207142.5
22.107294998351357,8588584.931103462,11068301.866440237,4700496612.411338,563343327544242.5
13.818469904356277,10567802.127322799,12591038.753256828,6758977351.256418,687315225349288.9
17.272591397654285,14686360.075183539,30466959.864432838,4489720434.890412,4191698309603567.0
42.242560048886695,12801872.518221775,10184744.656925298,3415585288.756763,483524476340109.5
44.36804358747647,9854075.713855322,12696972.380386759,3996516515.5692196,751781345120749.6
34.42563305099593,10333655.917692749,14682625.926328368,7088128576.226547,1003813863746495.4
29.33950205484483,9461911.93936444,19721035.083957728,8892401280.0941,1806930273456955.0
19.17969578500309,14241686.63853322,10187419.901658513,1854561632.5989695,471993077552363.25
16.8419514535487,13938803.608905705,33191118.57166105,6688121619.248714,4940276203123388.0
32.052733488396484,12970404.389549378,10952200.023018077,5974773705.038113,557917852197469.0
19.495617122681093,6686277.593685396,10049378.533753015,7528428807.649911,459818610946467.56
14.506486280639063,11814501.37348939,11871435.937046554,7504270234.657963,618624454586707.6
15.583962257040469,10464601.973063907,15436918.438498463,9982131015.30072,1057406107188315.5
11.537260576264877,8726905.091206405,10682287.563886367,8017807522.01613,478604261776100.25
11.017581470103288,11722463.444627116,10772495.931515492,9665623343.351286,486643437367228.0
16.378472820951032,6739642.681750024,12748207.81949038,7987566969.398624,727354698525971.8
52.84757840172122,8340647.151295399,12712317.00670281,8759580430.848164,753724208461998.1
27.794555120168894,9194135.171233147,10723400.408014,9232352679.730143,533040051174247.0
22.731666212966257,11869003.853864256,11144939.850570705,5089934720.10922,571011719692281.5
11.72115934993684,13254073.031301292,33600696.479377344,6236850512.2022705,4748647543171655.0
18.579369143671478,10735323.448985098,10954912.657519627,8793536510.37185,543735931941695.0
16.265625777656783,11097725.037755154,11458174.716908563,7322728070.720381,587318199053794.1
52.16966613084225,11033119.374996135,19203296.63397129,7134812411.325982,1720365150348710.2
13.32689822035714,10348885.131751314,11152260.909501411,8243828018.254377,539118231209236.75
19.9335031096843,9479063.12335378,11099698.963292375,8828600862.021374,560905019222757.9
71.15121853652973,13252320.524100546,11942423.705022212,8505064238.423239,664993309266969.8
17.759701253726874,8449076.974744102,11888723.052470267,6444319007.606882,636911281772009.4
21.866166026893275,12513482.421290101,14968587.832118226,7277402637.081787,1027614307013201.5
12.69133945290789,11140623.532536741,13175828.577482387,7038875305.66814,741350694916117.9
12.394631064364887,10464499.372730913,10800698.891085573,5451920262.514069,498054154560578.25
